Dussac Prv;;N45°22'59";E001°02'17"
Egletons;LFDE;N45°25'17";E002°04'05"
Enghien Moissell;LFFE;N49°02'47";E002°21'08"
Epernay Plivot;LFSW;N49°00'16";E004°05'07"
Epinal Dogne Gld;LFSE;N48°12'43";E006°26'55"
Epinal Mirecourt;LFSG;N48°19'30";E006°04'00"
Esperce Pauz Ul;;N43°19'05";E001°24'14"
Etain Rouvres;LFQE;N49°13'45";E005°40'34"
Etampes Mondesir;LFOX;N48°22'52";E002°04'26"
Etienne Devoluy;LFNY;N44°40'05";E005°54'08"
Etrepagny;LFFY;N49°18'21";E001°38'16"
Eu Mers Le Trepo;LFAE;N50°04'09";E001°25'33"
Evaux Chambon Pr;;N46°10'06";E002°25'55"
Evreux Fauville;LFOE;N49°01'43";E001°13'12"
Evron;;N48°09'25";W000°23'46"
Eyrignac Aero Pa;;N44°56'35";E001°18'41"
Falaise Gld;LFAS;N48°55'38";W000°08'44"
Fayence Gld;LFMF;N43°36'38";E006°41'49"
Feurs Chambe Gld;LFLZ;N45°42'13";E004°12'02"
Figari Sud Corse;LFKF;N41°30'08";E009°05'48"
Figeac Livernon;LFCF;N44°40'24";E001°47'19"
Flers St Paul;LFOG;N48°45'08";W000°35'25"
Florac Saint Gld;LFNO;N44°17'11";E003°27'58"
Fontaine Simon;;N48°30'29";E001°00'59"
Fontenay Com Gld;LFFK;N46°26'29";W000°47'37"
Fontenay Tresign;LFPQ;N48°42'26";E002°54'14"
Fougcres;;N48°21'12";W001°11'49"
Fougeres Bicvre;;N47°27'28";E001°21'52"
Fournet Blancher;;N47°10'29";E006°49'05"
Fourques Aero Fa;;N44°28'02";E000°09'34"
Frejus St Raphae;LFTU;N43°25'03";E006°44'11"
Fumel Montayral;LFDX;N44°27'49";E001°00'26"
Gaillac Isl;LFDG;N43°53'02";E001°52'30"
Gajoubert Aero;;N46°07'12";E000°51'18"
Galinat Tamn Ul;;N44°59'35";E001°08'32"
Gap Tallard Gld;LFNA;N44°27'18";E006°02'14"
Ghisonaccia;LFKG;N42°03'19";E009°24'06"
Golinhac;;N44°34'53";E002°35'25"
Gondrin Aero;;N43°53'12";E000°14'12"
Graissac Faula;;N44°46'15";E002°47'08"
Granville;LFRF;N48°52'58";W001°33'50"
Graulhet Gld;LFCQ;N43°46'12";E002°00'30"
Gray St Adri Gld;LFEV;N47°26'00";E005°37'20"
Grenoble St Geoi;LFLS;N45°21'47";E005°19'58"
Grenoble Versoud;LFLG;N45°13'09";E005°50'57"
Grostenquin;;N49°01'31";E006°42'58"
Gueret St Lauren;LFCE;N46°10'45";E001°57'27"
Guilly;;N47°08'59";E002°35'56"
Guiscriff Scaer;LFES;N48°03'13";W003°39'51"
Guyancourt;LFPR;N48°45'37";E002°03'45"
Habere Poche Gld;;N46°16'10";E006°27'48"
Hagetmau;;N43°39'21";W000°35'31"
Haguenau Gld;LFSH;N48°47'52";E007°49'12"
Hautefaye Jran M;;N45°32'41";E000°29'35"
Herbeviller;;N48°32'42";E006°46'00"
Herm Aero;;N43°49'17";W001°06'14"
Hyeres;LFTH;N43°05'50";E006°08'46"
Ile D Yeu;LFEY;N46°43'07";W002°23'31"
Issigeac Aero;;N44°41'51";E000°37'32"
Issoire Broc Gld;LFHA;N45°30'54";E003°16'01"
Issoudun Gld;LFEK;N46°53'19";E002°02'27"
Istres Le Tub;LFMI;N43°31'21";E004°55'27"
Itaxssou Gld;LFIX;N43°20'15";W001°25'23"
Javerlhac Aero;;N45°33'13";E000°33'28"
Joigny;LFGK;N47°59'42";E003°23'29"
Joinville Musse;LFFJ;N48°23'10";E005°08'40"
Jonzac Neulle;LFCJ;N45°29'03";W000°25'20"
Juvancourt;LFQX;N48°06'54";E004°49'13"
L Aigle St Miche;LFOL;N48°45'35";E000°39'30"
L Alpes D Huez;LFHU;N45°05'18";E006°05'03"
L Echalier 30m;;N47°06'37";E001°33'49"
L Isle En Dodon;;N43°23'30";E000°50'46"
La Banne D Ordan;;N45°37'50";E002°47'30"
