Hallertau;;N48°38'59'';E011°35'51''
Halver Im Heede;;N51°10'26'';E007°30'42''
Hamburg Finkenwerder;EDHI;N53°32'07'';E009°50'07''
Hamburg Fuhlsbüttel;EDDH;N53°37'49'';E009°59'17''
Hamm Lippewiesen;EDLH;N51°41'24'';E007°49'00''
Hanau;ETID;N50°10'12'';E008°57'46''
Hangensteinerhof;;N48°55'15'';E008°49'25''
Hannover;EDDV;N52°27'37'';E009°41'01''
Harle;EDXP;N53°42'25'';E007°49'17''
Hartenholm;EDHM;N53°54'49'';E010°02'05''
Hartenstein;;N50°40'36'';E012°40'55''
Hasselfelde;;N51°42'17'';E010°51'38''
Hassfurt;EDQT;N50°01'05'';E010°31'46''
Hassloch Pfalz;;N49°21'18'';E008°17'27''
Hayingen;;N48°17'16'';E009°27'41''
Heide Büsum;EDXB;N54°09'12'';E008°54'06''
Heidelberg;ETIE;N49°23'37'';E008°39'08''
Heilbronn Böckin;;N49°07'21'';E009°10'58''
Heiligenberg;;N47°49'57'';E009°18'06''
Helgoland Düne;EDXH;N54°11'07'';E007°54'57''
Hellenhagen;;N52°01'36'';E009°34'13''
Hellingst;;N53°22'32'';E008°51'01''
Hengsen Opherdick;;N51°28'27'';E007°39'18''
Heppenheim Lande;;N49°37'15'';E008°37'29''
Heringsdorf;EDAH;N53°52'43'';E014°09'08''
Hermuthausen;;N49°18'53'';E009°44'41''
Herrenteich;EDEH;N49°20'42'';E008°29'16''
Hersbruck;;N49°30'26'';E011°27'00''
Herten Rheinfldn;EDTR;N47°33'27'';E007°44'27''
Herzogenaurach;EDQH;N49°35'01'';E010°52'25''
Hessisch Lichtenau;;N51°11'26'';E009°44'56''
Hettstadt;EDGH;N49°47'55'';E009°50'13''
Hetzleser Berg;EDQX;N49°38'32'';E011°09'42''
Heubach;EDTH;N48°48'08'';E009°55'39''
Heufeld;;N48°21'42'';E009°03'56''
Hienheim;;N48°52'40'';E011°45'45''
Hilden Kesselweie;;N51°11'14'';E006°58'29''
Hildesheim;EDVM;N52°10'46'';E009°56'46''
