Predannack;EGDO;N50°00'04";W005°13'51"
Prestwick;EGPK;N55°30'34";W004°35'40"
Rattlesdentw Gld;;N52°10'11";E000°52'31"
Redhill;EGKR;N51°12'49";W000°08'19"
Rednal;;N52°50'02";W002°56'05"
Retford Gamstong;EGNE;N53°16'50";W000°57'05"
Rhigos Gld;;N51°44'45";W003°34'51"
Ringmer Gld;;N50°54'35";E000°06'26"
Rivar Hill Gld;;N51°20'53";W001°32'28"
Rochester;EGTO;N51°21'07";E000°30'12"
Rougham New;;N52°14'48";E000°46'10"
Rufforth York;;N53°57'06";W001°11'20"
Sackville Gld;;N52°15'52";W000°29'05"
Saltby Gld;;N52°49'43";W000°42'52"
Sanday;EGES;N59°15'01";W002°34'36"
Sandhill Gld;;N51°36'14";W001°40'35"
Sandtoft;EGCF;N53°33'35";W000°51'30"
Scampton;EGXP;N53°18'28";W000°33'03"
Scarborough;;N54°08'07";W000°22'59"
Scatsta;EGPM;N60°25'58";W001°17'46"
Scilly Isles;EGHE;N49°54'48";W006°17'30"
Sculthorpe;EGUP;N52°51'02";E000°45'55"
Seething;EGSJ;N52°30'40";E001°25'02"
Seighford Gld;;N52°49'22";W002°11'42"
Sennybridge;;N52°01'02";W003°40'05"
Shawbury;EGOS;N52°47'54";W002°40'05"
Sheffield;EGSY;N53°23'39";W001°23'19"
Sherburn In Elme;EGCJ;N53°47'03";W001°13'03"
Shipdham Open;EGSA;N52°37'46";E000°55'41"
Shobdon Gld;EGBS;N52°14'30";W002°52'53"
Shoreham;EGKA;N50°50'08";W000°17'50"
Shuttleworth War;EGTH;N52°05'19";W000°19'06"
Silverstone;;N52°04'12";W001°01'02"
Skegness;EGNI;N53°11'01";E000°20'12"
Sleap A F R;EGCV;N52°50'02";W002°46'18"
Snitterfield Gld;;N52°14'08";W001°42'39"
South Burlingham;;N52°37'02";E001°30'55"
Southampton;EGHI;N50°57'01";W001°21'24"
Southend;EGMC;N51°34'17";E000°41'44"
Southport Birkda;EGCO;N53°38'43";W003°01'43"
St Athan;EGDX;N51°24'17";W003°26'09"
St Mawgan;EGDG;N50°26'26";W004°59'43"
